user_id,cluster_id,segment_label
USER_000000,2,AT_RISK
USER_000011,2,AT_RISK
USER_000012,2,AT_RISK
USER_000021,2,AT_RISK
USER_000024,2,AT_RISK
USER_000027,2,AT_RISK
USER_000029,2,AT_RISK
USER_000035,2,AT_RISK
USER_000038,2,AT_RISK
USER_000049,2,AT_RISK
USER_000052,2,AT_RISK
USER_000061,2,AT_RISK
USER_000062,2,AT_RISK
USER_000063,2,AT_RISK
USER_000065,2,AT_RISK
USER_000067,2,AT_RISK
USER_000075,2,AT_RISK
USER_000081,2,AT_RISK
USER_000085,2,AT_RISK
USER_000089,2,AT_RISK
USER_000092,2,AT_RISK
USER_000112,2,AT_RISK
USER_000113,2,AT_RISK
USER_000124,2,AT_RISK
USER_000130,2,AT_RISK
USER_000139,2,AT_RISK
USER_000141,2,AT_RISK
USER_000146,2,AT_RISK
USER_000152,2,AT_RISK
USER_000158,2,AT_RISK
USER_000164,2,AT_RISK
USER_000165,2,AT_RISK
USER_000166,2,AT_RISK
USER_000169,2,AT_RISK
USER_000176,2,AT_RISK
USER_000184,2,AT_RISK
USER_000195,2,AT_RISK
USER_000204,2,AT_RISK
USER_000205,2,AT_RISK
USER_000212,2,AT_RISK
USER_000217,2,AT_RISK
USER_000226,2,AT_RISK
USER_000231,2,AT_RISK
USER_000233,2,AT_RISK
USER_000236,2,AT_RISK
USER_000237,2,AT_RISK
USER_000238,2,AT_RISK
USER_000243,2,AT_RISK
USER_000249,2,AT_RISK
USER_000257,2,AT_RISK
USER_000259,2,AT_RISK
USER_000263,2,AT_RISK
USER_000265,2,AT_RISK
USER_000271,2,AT_RISK
USER_000275,2,AT_RISK
USER_000277,2,AT_RISK
USER_000289,2,AT_RISK
USER_000295,2,AT_RISK
USER_000296,2,AT_RISK
USER_000298,2,AT_RISK
USER_000301,2,AT_RISK
USER_000308,2,AT_RISK
USER_000310,2,AT_RISK
USER_000315,2,AT_RISK
USER_000316,2,AT_RISK
USER_000329,2,AT_RISK
USER_000332,2,AT_RISK
USER_000338,2,AT_RISK
USER_000346,2,AT_RISK
USER_000358,2,AT_RISK
USER_000372,2,AT_RISK
USER_000375,2,AT_RISK
USER_000380,2,AT_RISK
USER_000385,2,AT_RISK
USER_000401,2,AT_RISK
USER_000406,2,AT_RISK
USER_000409,2,AT_RISK
USER_000415,2,AT_RISK
USER_000417,2,AT_RISK
USER_000429,2,AT_RISK
USER_000430,2,AT_RISK
USER_000431,2,AT_RISK
USER_000446,2,AT_RISK
USER_000459,2,AT_RISK
USER_000482,2,AT_RISK
USER_000504,2,AT_RISK
USER_000506,2,AT_RISK
USER_000516,2,AT_RISK
USER_000534,2,AT_RISK
USER_000542,2,AT_RISK
USER_000545,2,AT_RISK
USER_000549,2,AT_RISK
USER_000552,2,AT_RISK
USER_000554,2,AT_RISK
USER_000555,2,AT_RISK
USER_000570,2,AT_RISK
USER_000577,2,AT_RISK
USER_000579,2,AT_RISK
USER_000580,2,AT_RISK
USER_000595,2,AT_RISK
USER_000603,2,AT_RISK
USER_000611,2,AT_RISK
USER_000644,2,AT_RISK
USER_000652,2,AT_RISK
USER_000654,2,AT_RISK
USER_000668,2,AT_RISK
USER_000670,2,AT_RISK
USER_000676,2,AT_RISK
USER_000683,2,AT_RISK
USER_000688,2,AT_RISK
USER_000689,2,AT_RISK
USER_000692,2,AT_RISK
