user_id,cluster_id,segment_label
USER_000002,1,MODERATE
USER_000006,1,MODERATE
USER_000008,1,MODERATE
USER_000014,1,MODERATE
USER_000016,1,MODERATE
USER_000028,1,MODERATE
USER_000031,1,MODERATE
USER_000032,1,MODERATE
USER_000034,1,MODERATE
USER_000037,1,MODERATE
USER_000043,1,MODERATE
USER_000044,1,MODERATE
USER_000047,1,MODERATE
USER_000050,1,MODERATE
USER_000055,1,MODERATE
USER_000056,1,MODERATE
USER_000058,1,MODERATE
USER_000069,1,MODERATE
USER_000076,1,MODERATE
USER_000077,1,MODERATE
USER_000079,1,MODERATE
USER_000082,1,MODERATE
USER_000091,1,MODERATE
USER_000093,1,MODERATE
USER_000095,1,MODERATE
USER_000099,1,MODERATE
USER_000101,1,MODERATE
USER_000102,1,MODERATE
USER_000103,1,MODERATE
USER_000105,1,MODERATE
USER_000109,1,MODERATE
USER_000111,1,MODERATE
USER_000115,1,MODERATE
USER_000117,1,MODERATE
USER_000122,1,MODERATE
USER_000123,1,MODERATE
USER_000131,1,MODERATE
USER_000132,1,MODERATE
USER_000137,1,MODERATE
USER_000143,1,MODERATE
USER_000148,1,MODERATE
USER_000151,1,MODERATE
USER_000154,1,MODERATE
USER_000155,1,MODERATE
USER_000156,1,MODERATE
USER_000159,1,MODERATE
USER_000160,1,MODERATE
USER_000173,1,MODERATE
USER_000174,1,MODERATE
USER_000189,1,MODERATE
USER_000192,1,MODERATE
USER_000196,1,MODERATE
USER_000197,1,MODERATE
USER_000203,1,MODERATE
USER_000214,1,MODERATE
USER_000218,1,MODERATE
USER_000229,1,MODERATE
USER_000239,1,MODERATE
USER_000241,1,MODERATE
USER_000250,1,MODERATE
USER_000255,1,MODERATE
USER_000256,1,MODERATE
USER_000260,1,MODERATE
USER_000267,1,MODERATE
USER_000268,1,MODERATE
USER_000279,1,MODERATE
USER_000283,1,MODERATE
USER_000290,1,MODERATE
USER_000291,1,MODERATE
USER_000293,1,MODERATE
USER_000294,1,MODERATE
USER_000299,1,MODERATE
USER_000313,1,MODERATE
USER_000317,1,MODERATE
USER_000324,1,MODERATE
USER_000325,1,MODERATE
USER_000335,1,MODERATE
USER_000340,1,MODERATE
USER_000341,1,MODERATE
USER_000355,1,MODERATE
USER_000357,1,MODERATE
USER_000365,1,MODERATE
USER_000374,1,MODERATE
USER_000376,1,MODERATE
USER_000391,1,MODERATE
USER_000392,1,MODERATE
USER_000396,1,MODERATE
USER_000399,1,MODERATE
USER_000400,1,MODERATE
USER_000402,1,MODERATE
USER_000403,1,MODERATE
USER_000404,1,MODERATE
USER_000408,1,MODERATE
USER_000412,1,MODERATE
USER_000413,1,MODERATE
USER_000422,1,MODERATE
USER_000423,1,MODERATE
USER_000425,1,MODERATE
USER_000433,1,MODERATE
USER_000438,1,MODERATE
USER_000442,1,MODERATE
USER_000444,1,MODERATE
USER_000449,1,MODERATE
USER_000453,1,MODERATE
USER_000457,1,MODERATE
USER_000461,1,MODERATE
USER_000462,1,MODERATE
USER_000466,1,MODERATE
USER_000470,1,MODERATE
USER_000477,1,MODERATE
USER_000478,1,MODERATE
USER_000479,1,MODERATE
USER_000481,1,MODERATE
USER_000486,1,MODERATE
USER_000487,1,MODERATE
USER_000488,1,MODERATE
USER_000489,1,MODERATE
USER_000492,1,MODERATE
USER_000493,1,MODERATE
USER_000496,1,MODERATE
USER_000497,1,MODERATE
USER_000508,1,MODERATE
USER_000512,1,MODERATE
USER_000514,1,MODERATE
USER_000524,1,MODERATE
USER_000526,1,MODERATE
USER_000528,1,MODERATE
USER_000530,1,MODERATE
USER_000535,1,MODERATE
USER_000537,1,MODERATE
USER_000544,1,MODERATE
USER_000550,1,MODERATE
USER_000556,1,MODERATE
USER_000558,1,MODERATE
USER_000559,1,MODERATE
USER_000564,1,MODERATE
